,APT_ICAO,APT_NAME,STATE_NAME
162,LPMA,Madeira,Portugal
163,LPPD,Ponta Delgada,Portugal
164,LPPR,Porto,Portugal
165,LPPS,Porto Santo,Portugal
166,LPPT,Lisbon,Portugal
167,LWSK,Skopje,Republic of North Macedonia
168,LROP,Bucharest - Otopeni,Romania
169,LYBE,Belgrade - Nikola Tesla,Serbia
170,LZIB,Bratislava,Slovakia
171,LJLJ,Ljubljana,Slovenia
172,LJMB,Maribor,Slovenia
173,LJPZ,Portorož,Slovenia
174,GCFV,Fuerteventura,Spain
175,GCGM,La Gomera,Spain
176,GCHI,Hierro,Spain
177,GCLA,La Palma,Spain
178,GCLP,Gran Canaria,Spain
179,GCRR,Lanzarote,Spain
180,GCTS,Tenerife Sur - Reina Sofia,Spain
181,GCXO,Tenerife North,Spain
182,GEML,Melilla,Spain
183,LEAL,Alicante,Spain
184,LEAM,Almeria,Spain
185,LEAS,Asturias,Spain
186,LEBB,Bilbao,Spain
187,LEBL,Barcelona,Spain
188,LECO,La Coruna,Spain
189,LEDA,Lleida - Alguaire,Spain
190,LEGE,Gerona,Spain
191,LEGR,Granada,Spain
192,LEIB,Ibiza,Spain
193,LEJR,Jerez De La Frontera,Spain
194,LELC,Murcia San Javier,Spain
195,LELL,Sabadell,Spain
196,LEMD,Madrid - Barajas,Spain
197,LEMG,Málaga,Spain
198,LEMH,Mahon,Spain
199,LEPA,Palma de Mallorca,Spain
200,LEPP,Noain Pamplona,Spain
201,LERT,Rota,Spain
202,LESB,Son Bonet,Spain
203,LESO,San Sebastian,Spain
204,LEST,Santiago,Spain
205,LEVC,Valencia,Spain
206,LEVD,Valladolid,Spain
207,LEVX,Vigo,Spain
208,LEXJ,Santander,Spain
209,LEZG,Zaragoza,Spain
210,LEZL,Sevilla,Spain
211,ESGG,Göteborg,Sweden
212,ESSA,Stockholm - Arlanda,Sweden
213,ESSB,Stockholm - Bromma,Sweden
214,LSGG,Geneva,Switzerland
215,LSGS,Sion,Switzerland
216,LSZH,Zürich,Switzerland
217,LTAC,Ankara - Esenboğa,Turkey
218,LTAI,Antalya,Turkey
219,LTBA,Istanbul Atatürk,Turkey
220,LTBJ,Izmir - Adnan Menderes,Turkey
221,LTFJ,Istanbul Sabiha Gökçen,Turkey
222,UKBB,Kiev - Boryspil,Ukraine
223,EGAA,Belfast - Aldergrove,United Kingdom
224,EGAC,Belfast - City Airport,United Kingdom
225,EGAE,Londonderry - Eglinton,United Kingdom
226,EGBB,Birmingham,United Kingdom
227,EGCC,Manchester,United Kingdom
228,EGGD,Bristol,United Kingdom
229,EGGW,London - Luton,United Kingdom
230,EGHI,Southampton,United Kingdom
231,EGKB,Biggin Hill,United Kingdom
232,EGKK,London - Gatwick,United Kingdom
233,EGLC,London - City,United Kingdom
234,EGLF,Farnborough,United Kingdom
235,EGLL,London - Heathrow,United Kingdom
236,EGNX,East Midlands,United Kingdom
237,EGPD,Aberdeen,United Kingdom
238,EGPF,Glasgow,United Kingdom
239,EGPH,Edinburgh,United Kingdom
240,EGSS,London - Stansted,United Kingdom
241,LKKV,Karlovy Vary,Czech Republic
242,LFAQ,Albert-Bray,France
243,LFJR,Angers-Marcé,France
244,LFLI,Annemasse,France
245,LFLX,Châteauroux-Déols,France
246,LFMV,Avignon-Caumont,France
247,LFOT,Tours-Val de Loire,France
248,LFRM,Le Mans,France
249,EIWT,Weston,Ireland
250,LECU,Madrid - Cuatro Viento,Spain
251,LELN,Leon,Spain
252,LEMO,Seville - Moron,Spain
253,LERS,Reus,Spain
254,LEVT,Vitoria,Spain
255,LGSK,Skiathos,Greece
256,EPRA,Radom,Poland
257,EPZG,Zielona Gora - Babimost,Poland
258,LEAB,Albacete,Spain
259,LEBZ,Badajoz,Spain
260,LETO,Madrid - Torrejon,Spain
261,LFMI,Istres-Le Tubé,France
262,LFRZ,Saint-Nazaire-Montoir,France
263,LRBS,Bucharest - Băneasa,Romania
264,LEGT,Madrid - Getafe,Spain
265,LESJ,Palma - Son San Juan,Spain
266,LFOH,Le Havre-Octeville,France
267,LERJ,Logrono,Spain
